,PCARD_NO,counts,TIME_CATEGORY,STOP_ID
418,000E0E05B0BG0G0E,2,Afternoon Peak (AP),73857.0
419,000E0E05B0EC3FB5,1,Afternoon Peak (AP),213.0
420,000E0E05C3696935,3,Afternoon Peak (AP),156.0
421,000E0E05C3696935,3,Afternoon Peak (AP),1004.0
422,000E0E05C3696935,10,Afternoon Peak (AP),2742.0
423,000E0E05C3696935,1,Afternoon Peak (AP),4115.0
424,000E0E05C3696935,4,Afternoon Peak (AP),4117.0
425,000E0E05C3696935,6,Afternoon Peak (AP),9684.0
426,000E0E05C3696935,1,Afternoon Peak (AP),9872.0
427,000E0E05C3696935,2,Afternoon Peak (AP),9924.0
428,000E0E05C3696935,2,Afternoon Peak (AP),9926.0
429,000E0E05C3696935,13,Afternoon Peak (AP),9927.0
430,000E0E05C3696935,1,Afternoon Peak (AP),9950.0
431,000E0E05C3696935,1,Afternoon Peak (AP),8001938.0
